UID,stateName,date,positiveIncrease,deathIncrease,positive,death,population,Lat,Long_,rt,rt_lower,rt_upper,cases_lag,case_rate,case_lower,case_upper,death_rate,death_lower,death_upper
84000035,New Mexico,2020-05-20,125,7,6317,283,2096829,34.8405,-106.2485,0.97470896651382,0.939332858185126,1.01141737044953,133.406355801472,6.66860357754028e-05,6.37074827048336e-05,6.98038468737189e-05,3.31768473384531e-06,3.1601501799054e-06,3.48307243851294e-06
84000035,New Mexico,2020-05-21,155,11,6472,294,2096829,34.8405,-106.2485,0.972064238808147,0.937452336594919,1.00795405535158,133.321292703182,6.60648833608155e-05,6.31667161090229e-05,6.90960221193882e-05,3.278754257937e-06,3.12582579465846e-06,3.4391646208533e-06
84000035,New Mexico,2020-05-22,153,8,6625,302,2096829,34.8405,-106.2485,0.969685994853455,0.935805081124573,1.00479357035011,130.650253737144,6.54460242187525e-05,6.26242542118664e-05,6.83949396275594e-05,3.23952770359502e-06,3.09112726655069e-06,3.39505262559771e-06
84000035,New Mexico,2020-05-23,0,0,6625,302,2096829,34.8405,-106.2485,0.967624172011727,0.934390176770805,1.00204021996161,121.846701485097,6.48361344668544e-05,6.20824773509389e-05,6.77119295488368e-05,3.19990277645188e-06,3.05568252511892e-06,3.35092984777465e-06
84000035,New Mexico,2020-05-24,318,15,6943,317,2096829,34.8405,-106.2485,0.965975514648283,0.933255695172073,0.999842486605955,117.975672222222,6.42416421679081e-05,6.15440502449036e-05,6.70574746381971e-05,3.1597832987107e-06,3.01915196869782e-06,3.30696520027024e-06
84000035,New Mexico,2020-05-25,83,3,7026,320,2096829,34.8405,-106.2485,0.964694412775645,0.932319046746691,0.998194033778437,121.859434972934,6.36687396060033e-05,6.10121874760651e-05,6.64409615637418e-05,3.11907934809164e-06,2.9812492919757e-06,3.2632816067671e-06
84000035,New Mexico,2020-05-26,104,5,7130,325,2096829,34.8405,-106.2485,0.963679382012856,0.931453573567967,0.99702011744863,125.905162694494,6.3123401701289e-05,6.04908992196988e-05,6.58704680165298e-05,3.07770742122101e-06,2.94176195826462e-06,3.21993523100242e-06
84000035,New Mexico,2020-05-27,122,4,7252,329,2096829,34.8405,-106.2485,0.962964279110304,0.930676223568407,0.996372507816913,131.884867269589,6.26114101854761e-05,5.99851643133176e-05,6.53526372777409e-05,3.03559061717513e-06,2.90056648714125e-06,3.17690024894539e-06
84000035,New Mexico,2020-05-28,112,6,7364,335,2096829,34.8405,-106.2485,0.962585463009219,0.93002079219025,0.996290385524121,141.615162456314,6.2138383219218e-05,5.95009859114061e-05,6.48926838766586e-05,2.99265883675666e-06,2.85763375706286e-06,3.13406394051801e-06
84000035,New Mexico,2020-05-29,129,9,7493,344,2096829,34.8405,-106.2485,0.962544104569488,0.929501383453848,0.99676145698548,156.096589836601,6.17098102062219e-05,5.90453153646613e-05,6.44945437613342e-05,2.94884899294343e-06,2.81302204909142e-06,3.09123434919116e-06
84000035,New Mexico,2020-05-30,131,7,7624,351,2096829,34.8405,-106.2485,0.962846909341354,0.929150062689756,0.997765816368187,172.263187244238,6.13310916464457e-05,5.86258695869936e-05,6.41611430080899e-05,2.90410522781317e-06,2.76685951522279e-06,3.04815879802004e-06
84000035,New Mexico,2020-05-31,65,5,7689,356,2096829,34.8405,-106.2485,0.963558395392905,0.929064386591801,0.999333086846731,181.739127895357,6.10075839715774e-05,5.82508957126516e-05,6.38947308279878e-05,2.85837913112029e-06,2.71932086875269e-06,3.00454843380494e-06
84000035,New Mexico,2020-06-01,111,6,7800,362,2096829,34.8405,-106.2485,0.964820154109103,0.929422370338205,1.00156609038405,180.359328679947,6.07446494201631e-05,5.7928941742675e-05,6.36972180429154e-05,2.81162995558996e-06,2.67060375783615e-06,2.96010330397199e-06
84000035,New Mexico,2020-06-02,224,5,8024,367,2096829,34.8405,-106.2485,0.966757870211279,0.930389449085107,1.00454791327922,170.108942708995,6.05477111378577e-05,5.76686759970556e-05,6.35704784382537e-05,2.76382482390615e-06,2.62090872666812e-06,2.91453402383485e-06
84000035,New Mexico,2020-06-03,116,8,8140,375,2096829,34.8405,-106.2485,0.969432729067577,0.932069224187902,1.00829401057228,149.963326349834,6.04223138315629e-05,5.74787740894074e-05,6.35165948925951e-05,2.71493892231242e-06,2.57042431472013e-06,2.86757844207893e-06
84000035,New Mexico,2020-06-04,213,8,8353,383,2096829,34.8405,-106.2485,0.972910528947504,0.934568267074545,1.01282584770387,126.599443557196,6.03741904666751e-05,5.73678713881277e-05,6.35380533791376e-05,2.66495567572237e-06,2.51931695438185e-06,2.81901359859162e-06
84000035,New Mexico,2020-06-05,319,4,8672,387,2096829,34.8405,-106.2485,0.97722926519155,0.937963677076634,1.01813861249213,114.21882073033,6.04093356771361e-05,5.73445663826294e-05,6.3637900975712e-05,2.61386689925912e-06,2.46772434617876e-06,2.76866424632161e-06
84000035,New Mexico,2020-06-06,128,5,8800,392,2096829,34.8405,-106.2485,0.982303965550424,0.942210914903945,1.0241030595941,112.474314162213,6.05340867622656e-05,5.74174550591979e-05,6.38198898986988e-05,2.56167292121418e-06,2.41575074326973e-06,2.71640945307133e-06
84000035,New Mexico,2020-06-07,140,4,8940,396,2096829,34.8405,-106.2485,0.988028689217803,0.94724091461551,1.03057276734472,115.289296046666,6.07552133774282e-05,5.75951748727218e-05,6.40886317420497e-05,2.50838267254265e-06,2.36346270675731e-06,2.66218866662163e-06
84000035,New Mexico,2020-06-08,122,4,9062,400,2096829,34.8405,-106.2485,0.994388095845292,0.9530655844875,1.03750224670062,119.125353306915,6.10800172937682e-05,5.78864357708225e-05,6.44497879844851e-05,2.45401373819883e-06,2.31088413247857e-06,2.60600838554783e-06
84000035,New Mexico,2020-06-09,43,4,9105,404,2096829,34.8405,-106.2485,1.00143836142676,0.95975734996477,1.04492952491994,118.188670066254,6.15164439134564e-05,5.83000124771671e-05,6.49103269615853e-05,2.39859236586686e-06,2.25798959205089e-06,2.54795033504527e-06
84000035,New Mexico,2020-06-10,145,6,9250,410,2096829,34.8405,-106.2485,1.00931675089535,0.967455447038115,1.05298937202409,113.812606750321,6.20732075910754e-05,5.88446652570965e-05,6.54788855338092e-05,2.34215342795989e-06,2.20469532835557e-06,2.48818174990007e-06
84000035,New Mexico,2020-06-11,117,10,9367,420,2096829,34.8405,-106.2485,1.01813649656593,0.976261039519144,1.06180814728622,110.851105761055,6.27599332412066e-05,5.95289450791193e-05,6.61662862529427e-05,2.28474033314938e-06,2.15084782402002e-06,2.42696778992159e-06
84000035,New Mexico,2020-06-12,159,0,9526,420,2096829,34.8405,-106.2485,1.02791929167267,0.986166270293548,1.07144008269349,111.50426445949,6.35873172222783e-05,6.03608252443245e-05,6.69862762008348e-05,2.22640488414481e-06,2.09621117307373e-06,2.36468480457313e-06
84000035,New Mexico,2020-06-13,95,11,9621,431,2096829,34.8405,-106.2485,1.03864747224453,0.997095200120283,1.0819313657009,114.887769274302,6.45673110962449e-05,6.13470936653873e-05,6.79565634345841e-05,2.16720707897258e-06,2.04045719954134e-06,2.30183045456901e-06
