stateName	date	positiveIncrease	deathIncrease	positive	death	population	interval_start	mean_rt	std_rt	ci_lower	ci_upper
Georgia	2020-03-26	278	8	1525	48	10617423	2020-03-20	2.09524313551838	0.0595249135444588	1.98018632357538	2.21350317668092
Georgia	2020-03-27	475	16	2000	64	10617423	2020-03-21	2.10107719456599	0.0539625430625408	1.99663130385476	2.20814834522267
Georgia	2020-03-28	366	5	2366	69	10617423	2020-03-22	2.06101441896885	0.0484174523111124	1.96719982344986	2.15698356017585
Georgia	2020-03-29	285	11	2651	80	10617423	2020-03-23	1.90446515573717	0.042258888450664	1.82253094620636	1.98817558969312
Georgia	2020-03-30	157	7	2808	87	10617423	2020-03-24	1.61474435356249	0.0357773574556664	1.54537582983572	1.68561445399001
Georgia	2020-03-31	1121	24	3929	111	10617423	2020-03-25	2.04717182695379	0.0379888363018031	1.97338500332333	2.12229400650879
Georgia	2020-04-01	709	28	4638	139	10617423	2020-03-26	2.00176154187899	0.0343703867854118	1.93495750684062	2.06968346261157
Georgia	2020-04-02	710	24	5348	163	10617423	2020-03-27	1.86811986176112	0.0302096571205918	1.80937407950383	1.92779104252696
Georgia	2020-04-03	483	21	5831	184	10617423	2020-03-28	1.59216711853402	0.0257202923334757	1.54215095355566	1.64297033855945
Georgia	2020-04-04	329	17	6160	201	10617423	2020-03-29	1.40688886004071	0.0228377808263321	1.36247979041939	1.45200017665651
Georgia	2020-04-05	487	10	6647	211	10617423	2020-03-30	1.37566902205319	0.0217593983860488	1.33334830185846	1.41864170397858
Georgia	2020-04-06	667	18	7314	229	10617423	2020-03-31	1.45256852544909	0.0216367910233413	1.41046727443048	1.49528028572003
Georgia	2020-04-07	1508	100	8822	329	10617423	2020-04-01	1.45428050467799	0.0207881671289219	1.41381862406876	1.49530528100372
Georgia	2020-04-08	1079	33	9901	362	10617423	2020-04-02	1.43533327780703	0.0197831212903873	1.39681797519334	1.47436509317313
Georgia	2020-04-09	665	17	10566	379	10617423	2020-04-03	1.31079877290276	0.018144390232891	1.27547490204414	1.34659840915967
Georgia	2020-04-10	919	37	11485	416	10617423	2020-04-04	1.33717976875371	0.0177817087492012	1.30255276140333	1.37225469746421
Georgia	2020-04-11	674	13	12159	429	10617423	2020-04-05	1.33602991699425	0.0172480720618454	1.3024357128521	1.37004592430286
Georgia	2020-04-12	293	4	12452	433	10617423	2020-04-06	1.21341878629798	0.0159247344369107	1.1824052987486	1.24482816738436
Georgia	2020-04-13	863	32	13315	465	10617423	2020-04-07	1.20296582613405	0.015527634312153	1.17272250019795	1.23358881850446
Georgia	2020-04-14	1263	60	14578	525	10617423	2020-04-08	1.11424672047973	0.0146853144324228	1.08564778749427	1.14321228500112
Georgia	2020-04-15	409	27	14987	552	10617423	2020-04-09	0.963905639564935	0.0135146141983568	0.937597407193556	0.990572807716118
Georgia	2020-04-16	682	35	15669	587	10617423	2020-04-10	0.976557145909948	0.0136691758128851	0.949947731993383	1.00352899554028
Georgia	2020-04-17	1525	63	17194	650	10617423	2020-04-11	1.10605965911015	0.0146372839770932	1.0775550171148	1.13493123436858
Georgia	2020-04-18	475	23	17669	673	10617423	2020-04-12	1.05034681618945	0.0141487319156574	1.02279676911913	1.07825789613774
Georgia	2020-04-19	632	14	18301	687	10617423	2020-04-13	1.10058592617848	0.0143895105486402	1.07256161652501	1.12896661545018
Georgia	2020-04-20	1106	88	19407	775	10617423	2020-04-14	1.12684872278018	0.0144361048507323	1.09873005045413	1.15531772679367
Georgia	2020-04-21	474	23	19881	798	10617423	2020-04-15	0.956409267109453	0.0131323369654018	0.930841572245986	0.982318535716876
Georgia	2020-04-22	1333	50	21214	848	10617423	2020-04-16	1.12930883000835	0.0143099600703485	1.10143396181948	1.15752718433393
Georgia	2020-04-23	669	33	21883	881	10617423	2020-04-17	1.10774546227197	0.0140513940535668	1.08037444089528	1.13545411590385
Georgia	2020-04-24	608	18	22491	899	10617423	2020-04-18	0.920800280332319	0.0126505517008246	0.896170679564392	0.945759109811563
Georgia	2020-04-25	731	8	23222	907	10617423	2020-04-19	0.978375315917165	0.0131281203489141	0.95281192465174	1.00427239787764
Georgia	2020-04-26	264	9	23486	916	10617423	2020-04-20	0.924223130617586	0.0128339569222894	0.899238257360281	0.949545592967986
Georgia	2020-04-27	816	79	24302	995	10617423	2020-04-21	0.885208107975172	0.0126509948395349	0.860584302967063	0.910174402831618
Georgia	2020-04-28	620	41	24922	1036	10617423	2020-04-22	0.934798267399971	0.0131648670657166	0.909171652876476	0.960776085533455
Georgia	2020-04-29	853	65	25775	1101	10617423	2020-04-23	0.859485548596995	0.0127250922195594	0.834723747577627	0.884604233190852
Georgia	2020-04-30	489	31	26264	1132	10617423	2020-04-24	0.8475030723125	0.0128028039344872	0.822593721713522	0.872778786149676
Georgia	2020-05-01	1225	37	27489	1169	10617423	2020-04-25	0.999400557727224	0.0141350718076739	0.971886164464399	1.02729365535543
Georgia	2020-05-02	842	8	28331	1177	10617423	2020-04-26	1.02487601682356	0.0143370856666528	0.996966288719606	1.05316566691324
Georgia	2020-05-03	334	7	28665	1184	10617423	2020-04-27	1.02900220469673	0.0142972142524496	1.00116880273582	1.05721190354367
Georgia	2020-05-04	786	62	29451	1246	10617423	2020-04-28	1.01485991758507	0.0141417281892558	0.987329755359351	1.04276336685321
Georgia	2020-05-05	547	53	29998	1299	10617423	2020-04-29	0.995951317327802	0.0139776618158365	0.968741876653056	1.02353235731653
Georgia	2020-05-06	745	28	30743	1327	10617423	2020-04-30	0.974999277153539	0.013831516378584	0.948076326095143	1.00229391670816
